a,b,c,d,pos,vel,acc
7742.636826811277,27.825594022071257,7742.636826811277,35938136.638046406,"(2749.0044643644387, 0.005833333333333334, 929.4604110554154)","(16063.889998507158, 0.016666666666666666, 4636.463645287202)","(54529.60551460611, 0.015, 12843.87277057188)"
7742.636826811277,27.825594022071257,7742.636826811277,599484250.3189421,"(3123.694292377519, 0.0, 1021.8995771895349)","(26909.925294383233, 0.0033333333333333335, 7146.921527310846)","(133269.69090738535, 0.0025, 27062.37289557931)"
7742.636826811277,27.825594022071257,7742.636826811277,10000000000.0,"(3509.419229927389, 0.0, 1149.7727400412364)","(45731.22649444622, 0.0008333333333333334, 11986.528050539318)","(331004.49776542385, 0.0008333333333333334, 65135.628264484854)"
7742.636826811277,27.825594022071257,129154.96650148854,0.1,"(2031.5228029917523, 0.065, 908.2894477611712)","(5326.787116092619, 0.1875, 2822.213734463481)","(7824.965737759514, 0.21166666666666667, 4547.440469423525)"
7742.636826811277,27.825594022071257,129154.96650148854,1.6681005372000592,"(2031.57465240376, 0.065, 908.2991568989822)","(5327.2556280197205, 0.1875, 2822.4145981899055)","(7826.088844928315, 0.21166666666666667, 4548.064853883465)"
7742.636826811277,27.825594022071257,129154.96650148854,27.825594022071257,"(2032.3801215243418, 0.065, 908.454204633084)","(5334.536193037146, 0.1875, 2825.463958489798)","(7843.551747124198, 0.21166666666666667, 4557.450018098727)"
7742.636826811277,27.825594022071257,129154.96650148854,464.1588833612782,"(2039.9547013865447, 0.06416666666666666, 909.8106540775839)","(5403.348361593513, 0.18666666666666668, 2851.6095759860837)","(8009.868892854713, 0.21083333333333334, 4636.426755447123)"
7742.636826811277,27.825594022071257,129154.96650148854,7742.636826811277,"(2074.3311259115844, 0.056666666666666664, 910.6799876233887)","(5725.670041533769, 0.18166666666666667, 2957.5688389238308)","(8823.73122937383, 0.20666666666666667, 4998.458220221785)"
7742.636826811277,27.825594022071257,129154.96650148854,129154.96650148854,"(2185.9914416977535, 0.03166666666666667, 888.3436720189037)","(6889.039654536137, 0.1425, 3165.5828883058957)","(12179.741395568059, 0.1875, 5992.350490813673)"
7742.636826811277,27.825594022071257,129154.96650148854,2154434.6900318866,"(2422.5833759346606, 0.018333333333333333, 872.1677018167057)","(9990.741436500157, 0.04083333333333333, 3483.4092755561096)","(23636.333886317425, 0.060833333333333336, 7764.10938310391)"
7742.636826811277,27.825594022071257,129154.96650148854,35938136.638046406,"(2751.0044086825415, 0.005, 927.9744901301374)","(16111.552071012591, 0.015, 4624.704379602968)","(54822.41509247148, 0.0125, 12795.11558386449)"
7742.636826811277,27.825594022071257,129154.96650148854,599484250.3189421,"(3123.9611700337914, 0.0, 1021.882370423852)","(26920.175875077817, 0.0033333333333333335, 7147.351286264304)","(133358.41863862396, 0.0025, 27061.498311458086)"
7742.636826811277,27.825594022071257,129154.96650148854,10000000000.0,"(3509.451859315374, 0.0, 1149.7780059472814)","(45733.4167671115, 0.0008333333333333334, 11986.770623189588)","(331031.3837159088, 0.0008333333333333334, 65136.44270116922)"
7742.636826811277,27.825594022071257,2154434.6900318866,0.1,"(2416.0875011764156, 0.0016666666666666668, 810.4696924854699)","(10094.116269781678, 0.0075, 2843.453587187489)","(24980.9765840182, 0.01, 5275.730413833701)"
7742.636826811277,27.825594022071257,2154434.6900318866,1.6681005372000592,"(2416.0906940341747, 0.0016666666666666668, 810.4707307563408)","(10094.161289536421, 0.0075, 2843.4697056797704)","(24981.15474859236, 0.01, 5275.788363544183)"
7742.636826811277,27.825594022071257,2154434.6900318866,27.825594022071257,"(2416.143579239062, 0.0016666666666666668, 810.487943862032)","(10094.906988753743, 0.0075, 2843.7365005965753)","(24984.10587622484, 0.01, 5276.747355624249)"
7742.636826811277,27.825594022071257,2154434.6900318866,464.1588833612782,"(2416.937814161139, 0.0016666666666666668, 810.7496688630882)","(10106.108850641282, 0.0075, 2847.705354723909)","(25028.44894253808, 0.01, 5290.972962271352)"
7742.636826811277,27.825594022071257,2154434.6900318866,7742.636826811277,"(2423.3837733770365, 0.0016666666666666668, 812.9623890343244)","(10197.41676308788, 0.0075, 2878.5860482842554)","(25391.36938274555, 0.009166666666666667, 5400.309132605267)"
7742.636826811277,27.825594022071257,2154434.6900318866,129154.96650148854,"(2450.668395777672, 0.0016666666666666668, 821.6448325037389)","(10594.268270555813, 0.0075, 3002.930958474789)","(27007.76574574505, 0.008333333333333333, 5848.438560649313)"
7742.636826811277,27.825594022071257,2154434.6900318866,2154434.6900318866,"(2545.985754199472, 0.0016666666666666668, 849.2785373595613)","(12116.204572591809, 0.0075, 3415.492848651486)","(33757.20997091484, 0.004166666666666667, 7460.912054109427)"
7742.636826811277,27.825594022071257,2154434.6900318866,35938136.638046406,"(2780.1920013409103, 0.0, 919.9670174253154)","(16821.772152384627, 0.005833333333333334, 4593.920395125694)","(59257.40344317544, 0.0033333333333333335, 12579.084865365212)"
7742.636826811277,27.825594022071257,2154434.6900318866,599484250.3189421,"(3128.320803452583, 0.0, 1021.7750703375544)","(27088.244989320294, 0.0033333333333333335, 7157.9403696568015)","(134814.43641516476, 0.0016666666666666668, 27065.35166373195)"
7742.636826811277,27.825594022071257,2154434.6900318866,10000000000.0,"(3509.994596759434, 0.0, 1149.8694313872795)","(45769.869994262845, 0.0, 11990.924853341121)","(331476.9435840562, 0.0008333333333333334, 65150.88034809467)"
7742.636826811277,27.825594022071257,35938136.638046406,0.1,"(2886.7192349597626, 0.0, 922.4366631352997)","(19934.638289040482, 0.0, 4748.678459046775)","(81254.18678841704, 0.0, 11289.222941443333)"
7742.636826811277,27.825594022071257,35938136.638046406,1.6681005372000592,"(2886.71937591797, 0.0, 922.4367189717777)","(19934.641797252112, 0.0, 4748.679586932108)","(81254.2097943301, 0.0, 11289.228998132161)"
7742.636826811277,27.825594022071257,35938136.638046406,27.825594022071257,"(2886.721726174336, 0.0, 922.437649951904)","(19934.700291200646, 0.0, 4748.69839257491)","(81254.59338212923, 0.0, 11289.329983951275)"
7742.636826811277,27.825594022071257,35938136.638046406,464.1588833612782,"(2886.760637125626, 0.0, 922.4530618492616)","(19935.668730363002, 0.0, 4749.009720502296)","(81260.94418799748, 0.0, 11291.001927299754)"
7742.636826811277,27.825594022071257,35938136.638046406,7742.636826811277,"(2887.3414487911123, 0.0, 922.6827951578823)","(19950.127271127687, 0.0, 4753.6533812759335)","(81355.77160365666, 0.0, 11315.965055605775)"
7742.636826811277,27.825594022071257,35938136.638046406,129154.96650148854,"(2891.953471331866, 0.0, 924.488436705074)","(20065.31369293935, 0.0, 4790.516969481955)","(82112.92591396572, 0.0, 11515.061625002454)"
7742.636826811277,27.825594022071257,35938136.638046406,2154434.6900318866,"(2911.4962518207135, 0.0, 931.9343630419594)","(20563.211738504902, 0.0, 4947.824877389882)","(85432.14822024197, 0.0, 12373.846278860705)"
7742.636826811277,27.825594022071257,35938136.638046406,35938136.638046406,"(2983.3993690650677, 0.0, 958.5981044790659)","(22537.02549058934, 0.0, 5547.214432208791)","(99310.27971478127, 0.0, 15777.036078066125)"
7742.636826811277,27.825594022071257,35938136.638046406,599484250.3189421,"(3185.0860517287597, 0.0, 1031.169248641261)","(29379.401007386714, 0.0, 7495.87366822479)","(155306.20392127396, 0.0, 28236.776328797372)"
7742.636826811277,27.825594022071257,35938136.638046406,10000000000.0,"(3518.6595535699635, 0.0, 1151.9351818313776)","(46357.481188820624, 0.0, 12077.901827340018)","(338671.48386199155, 0.0, 65535.4940028551)"
7742.636826811277,27.825594022071257,599484250.3189421,0.1,"(3401.405122104208, 0.0, 1098.6955522307956)","(40332.699888019924, 0.0, 9503.744437953997)","(267846.0694413467, 0.0, 34827.96946383841)"
