a,b,c,pos,vel,acc
10.0,42813323.98719387,88.58667904100822,"(0.0, 1057.5430972576103, 3436.083817313887)","(0.0, 7767.333798181597, 48245.49262655106)","(55.25, 2487.043130405118, 2423.846848628091)"
10.0,42813323.98719387,263.6650898730358,"(0.0, 1057.576255909077, 3436.0920719635433)","(0.0, 7767.7761060726525, 48245.87194631561)","(44.583333333333336, 2482.2296248175535, 2841.3761204135317)"
10.0,42813323.98719387,784.7599703514607,"(0.0, 1057.6729383724482, 3436.1164206254502)","(0.0, 7769.082256484437, 48246.99175485804)","(33.166666666666664, 2474.0689001556557, 3817.6875625376424)"
10.0,42813323.98719387,2335.7214690901214,"(0.0, 1057.7312332180836, 3436.1874571500107)","(0.0, 7772.880852096467, 48250.25901104523)","(23.666666666666668, 2447.4051640908397, 5798.727609394689)"
10.0,42813323.98719387,6951.927961775606,"(0.0, 1057.790756577532, 3436.3903909096684)","(0.0, 7777.191928167369, 48259.61606133812)","(16.25, 2396.395400164997, 9387.313008098563)"
10.0,42813323.98719387,20691.3808111479,"(0.0, 1057.9298836247208, 3436.9300579227697)","(0.0, 7771.757243745642, 48284.483263051254)","(9.75, 2309.193442039703, 15269.692617370203)"
10.0,42813323.98719387,61584.82110660255,"(0.0, 1057.7242018337884, 3438.147716932551)","(0.0, 7785.071018264907, 48340.632988511185)","(4.166666666666666, 2231.347343690926, 23702.50139429682)"
10.0,42813323.98719387,183298.07108324338,"(0.0, 1059.6625613524088, 3440.298561957735)","(0.0, 7841.028140852831, 48440.07368550823)","(2.666666666666667, 2162.467131437813, 33883.000390873276)"
10.0,42813323.98719387,545559.4781168514,"(0.0, 1061.0026174264972, 3443.6277668498815)","(0.0, 7864.511455826593, 48595.00502368141)","(1.8333333333333333, 2197.060813273021, 45506.20619696691)"
10.0,42813323.98719387,1623776.739188721,"(0.0, 1064.8258188599661, 3449.0767629836446)","(0.0, 7956.918524159129, 48851.39754196917)","(0.6666666666666667, 2553.857264092682, 60209.62510326108)"
10.0,42813323.98719387,4832930.238571752,"(0.0, 1071.5880146970674, 3458.3141294036127)","(0.0, 8083.080086787275, 49293.77782681698)","(0.08333333333333334, 3522.3212707091316, 79914.49116168825)"
10.0,42813323.98719387,14384498.882876629,"(0.0, 1078.0704224227873, 3473.8630372842335)","(0.0, 8337.473324970422, 50060.652830226)","(0.0, 5399.935558660887, 106820.66226701827)"
10.0,42813323.98719387,42813323.98719387,"(0.0, 1091.748488345875, 3499.5829121979496)","(0.0, 8737.18062724127, 51392.10159100446)","(0.0, 8586.430424844024, 144411.68107771425)"
10.0,42813323.98719387,127427498.57031322,"(0.0, 1107.0182988046986, 3540.9008184134686)","(0.0, 9462.16109582712, 53703.11222523032)","(0.0, 13833.101290009952, 198620.53517563)"
10.0,42813323.98719387,379269019.0732238,"(0.0, 1135.3247609261348, 3604.2180776120276)","(0.0, 10674.558673509247, 57689.72983309003)","(0.0, 22817.16045420718, 279849.863172622)"
10.0,42813323.98719387,1128837891.6846883,"(0.0, 1176.8685558878437, 3694.603068422589)","(0.0, 12600.567234207492, 64442.07735950729)","(0.0, 38236.84778323964, 406308.8029470853)"
10.0,42813323.98719387,3359818286.2837744,"(0.0, 1228.4249408867026, 3811.934450313188)","(0.0, 15576.889726253794, 75492.4136123777)","(0.0, 63692.95320885499, 608988.3955626552)"
10.0,42813323.98719387,10000000000.0,"(0.0, 1265.32800746674, 3948.5327805709903)","(0.0, 19916.111171389035, 92790.64515328691)","(0.0, 102716.62955392816, 938981.0122438164)"
10.0,127427498.57031322,10.0,"(0.0, 1163.9219121119172, 3739.0711749738507)","(0.0, 11572.976847631107, 73702.19482883513)","(51.74999999999999, 2458.8767859309473, 2419.544578604025)"
10.0,127427498.57031322,29.76351441631318,"(0.0, 1163.9224972969032, 3739.0713970803913)","(0.0, 11572.983060683719, 73702.21219427063)","(49.916666666666664, 2458.7192539539847, 2470.663159927716)"
10.0,127427498.57031322,88.58667904100822,"(0.0, 1163.9242382794234, 3739.0720580237376)","(0.0, 11573.001548914715, 73702.26387027363)","(46.08333333333333, 2458.250801939148, 2616.838426067453)"
10.0,127427498.57031322,263.6650898730358,"(0.0, 1163.9294135662706, 3739.074019265625)","(0.0, 11573.056541009128, 73702.41721123237)","(40.0, 2456.8602225762625, 3009.3735343730614)"
10.0,127427498.57031322,784.7599703514607,"(0.0, 1163.9447598232775, 3739.079837316731)","(0.0, 11573.219904215688, 73702.87210343101)","(31.5, 2455.435610359653, 3952.7696923731646)"
10.0,127427498.57031322,2335.7214690901214,"(0.0, 1163.9899357984864, 3739.0969559599434)","(0.0, 11573.703382666792, 73704.21724946209)","(23.083333333333332, 2443.8156136384387, 5918.758767407058)"
10.0,127427498.57031322,6951.927961775606,"(0.0, 1164.1201433722008, 3739.1473130650475)","(0.0, 11573.978171669503, 73708.14816889365)","(15.75, 2416.017013781776, 9593.507385077643)"
10.0,127427498.57031322,20691.3808111479,"(0.0, 1164.474137928596, 3739.2911250570423)","(0.0, 11571.51111484215, 73719.3952970209)","(9.083333333333334, 2359.941554245202, 15966.101666879353)"
10.0,127427498.57031322,61584.82110660255,"(0.0, 1165.1810148451764, 3739.673009120841)","(0.0, 11562.951937867656, 73749.27625794025)","(3.4166666666666665, 2284.1031461851826, 26231.260835771187)"
10.0,127427498.57031322,183298.07108324338,"(0.0, 1165.7732688457243, 3740.533581051899)","(0.0, 11549.861645589575, 73816.69847102993)","(2.666666666666667, 2225.1818306890996, 40838.949640410705)"
10.0,127427498.57031322,545559.4781168514,"(0.0, 1167.1329378220794, 3742.0514214108125)","(0.0, 11578.947934348078, 73936.01600892734)","(1.8333333333333333, 2199.8916311445428, 58399.06278236266)"
10.0,127427498.57031322,1623776.739188721,"(0.0, 1169.052344367497, 3744.400451266052)","(0.0, 11620.780956344828, 74121.52660792062)","(0.6666666666666667, 2475.4472963766457, 78386.63435549798)"
10.0,127427498.57031322,4832930.238571752,"(0.0, 1171.6321417525646, 3748.250679177094)","(0.0, 11736.313472562591, 74428.41884839753)","(0.08333333333333334, 3212.204686832497, 103600.93995376946)"
10.0,127427498.57031322,14384498.882876629,"(0.0, 1174.0708944725452, 3754.7942421065213)","(0.0, 11876.8946167152, 74957.7033181419)","(0.0, 4776.8786165327365, 137256.0017656691)"
10.0,127427498.57031322,42813323.98719387,"(0.0, 1178.340342892941, 3765.85605023147)","(0.0, 12166.386545169797, 75874.8778329659)","(0.0, 7627.077454695857, 182921.7758279872)"
10.0,127427498.57031322,127427498.57031322,"(0.0, 1190.7208295307519, 3784.2867070193615)","(0.0, 12633.112198809984, 77467.46820742766)","(0.0, 12179.940810754886, 246133.4938760006)"
10.0,127427498.57031322,379269019.0732238,"(0.0, 1203.1359216138699, 3814.2507634587373)","(0.0, 13490.502392455955, 80237.2679392068)","(0.0, 20149.22119134818, 336178.8293184272)"
10.0,127427498.57031322,1128837891.6846883,"(0.0, 1225.4014164923717, 3861.03486122137)","(0.0, 14911.48727798462, 85047.84410421138)","(0.0, 34018.160662703376, 469278.7511764431)"
10.0,127427498.57031322,3359818286.2837744,"(0.0, 1248.3044223008774, 3929.5929317469318)","(0.0, 17379.07615841855, 93325.32734541263)","(0.0, 57685.06014474494, 674141.9157704948)"
10.0,127427498.57031322,10000000000.0,"(0.0, 1285.0262249584825, 4021.328324911907)","(0.0, 21042.19832193393, 107249.18701270303)","(0.0, 95842.31286647858, 1000785.2683537663)"
10.0,379269019.0732238,10.0,"(0.0, 1277.365335897394, 4016.5377608882936)","(0.0, 16615.980211669965, 113767.02955136148)","(44.75, 2418.0217160112416, 2603.184565339584)"
10.0,379269019.0732238,29.76351441631318,"(0.0, 1277.3653271565342, 4016.5378093609133)","(0.0, 16615.98428332764, 113767.03675509707)","(43.75, 2417.9747045658874, 2650.8072643191595)"
10.0,379269019.0732238,88.58667904100822,"(0.0, 1277.3653011454705, 4016.537953623416)","(0.0, 16615.996400161253, 113767.05819460747)","(41.5, 2417.8348273182955, 2787.9409846338467)"
10.0,379269019.0732238,263.6650898730358,"(0.0, 1277.3652237700162, 4016.538381848919)","(0.0, 16616.032447736878, 113767.12183532945)","(37.25, 2417.4189047382997, 3160.1490807134387)"
10.0,379269019.0732238,784.7599703514607,"(0.0, 1277.3649938504877, 4016.5396535715654)","(0.0, 16616.139593236003, 113767.31083302958)","(30.166666666666668, 2416.6868780566047, 4069.5707097515005)"
10.0,379269019.0732238,2335.7214690901214,"(0.0, 1277.3643128580425, 4016.5434261894875)","(0.0, 16616.45722263446, 113767.87291129098)","(22.5, 2415.1507794439176, 6009.60787227241)"
10.0,379269019.0732238,6951.927961775606,"(0.0, 1277.3623151878987, 4016.554582113641)","(0.0, 16617.391553400666, 113769.5294988367)","(15.583333333333332, 2404.3241800877686, 9697.255571000023)"
10.0,379269019.0732238,20691.3808111479,"(0.0, 1277.3566207741044, 4016.5873439345723)","(0.0, 16620.080337149786, 113774.39883898353)","(8.75, 2381.495681149109, 16248.458483150735)"
10.0,379269019.0732238,61584.82110660255,"(0.0, 1277.3417209797185, 4016.680908464073)","(0.0, 16627.780027716413, 113788.30756322097)","(3.5000000000000004, 2329.0460875022764, 27379.183891063214)"
10.0,379269019.0732238,183298.07108324338,"(0.0, 1277.1867795177122, 4016.9293762933835)","(0.0, 16650.482339388713, 113825.2606337932)","(2.666666666666667, 2262.4021124017368, 45171.73903568063)"
10.0,379269019.0732238,545559.4781168514,"(0.0, 1276.8833634497698, 4017.4885972159095)","(0.0, 16664.76665392518, 113908.64021633312)","(1.8333333333333333, 2231.497180097967, 70408.78278871649)"
10.0,379269019.0732238,1623776.739188721,"(0.0, 1276.6173015768045, 4018.4771478167263)","(0.0, 16695.744365467606, 114056.1670171742)","(0.6666666666666667, 2362.0772686835257, 100683.39588817273)"
10.0,379269019.0732238,4832930.238571752,"(0.0, 1276.6329545971512, 4020.006316740937)","(0.0, 16735.474868801248, 114285.42184413233)","(0.08333333333333334, 2940.2510201880355, 135081.97865884367)"
10.0,379269019.0732238,14384498.882876629,"(0.0, 1276.9632225870596, 4022.5151228758896)","(0.0, 16829.118116131787, 114664.47193902322)","(0.0, 4176.722466689091, 178391.03819575702)"
10.0,379269019.0732238,42813323.98719387,"(0.0, 1277.6135844860332, 4026.787144268035)","(0.0, 17025.690294254673, 115318.03838168061)","(0.0, 6438.638285668555, 236025.91745317378)"
10.0,379269019.0732238,127427498.57031322,"(0.0, 1282.0484939624807, 4034.0330836725134)","(0.0, 17345.742429553706, 116450.28006090775)","(0.0, 10399.020622190817, 313859.0228334775)"
10.0,379269019.0732238,379269019.0732238,"(0.0, 1285.019055727415, 4046.174579038213)","(0.0, 17948.258211422984, 118416.39736783567)","(0.0, 17052.212189863203, 420828.4510225812)"
10.0,379269019.0732238,1128837891.6846883,"(0.0, 1294.3379026701018, 4066.101587974936)","(0.0, 18955.61473438269, 121840.20359927652)","(0.0, 28625.81668914947, 571707.8157795534)"
10.0,379269019.0732238,3359818286.2837744,"(0.0, 1311.5438357298915, 4097.690371241029)","(0.0, 20656.419884033647, 127814.99328647212)","(0.0, 49039.00106474706, 792116.6203407971)"
10.0,379269019.0732238,10000000000.0,"(0.0, 1337.966691328551, 4145.030209527949)","(0.0, 23301.98481572808, 138222.51784420773)","(0.0, 82901.17327615817, 1127656.532568686)"
10.0,1128837891.6846883,10.0,"(0.0, 1365.5747565543725, 4248.89176673378)","(0.0, 23013.729458253547, 178576.91744681174)","(41.0, 2376.100620913176, 2751.923332465128)"
10.0,1128837891.6846883,29.76351441631318,"(0.0, 1365.5747631684428, 4248.891776168074)","(0.0, 23013.72958434668, 178576.9205848488)","(40.33333333333333, 2376.08762020655, 2797.047246051432)"
10.0,1128837891.6846883,88.58667904100822,"(0.0, 1365.5747828534031, 4248.8918042472615)","(0.0, 23013.729959643246, 178576.929924555)","(38.666666666666664, 2376.048927090037, 2927.4444199821796)"
10.0,1128837891.6846883,263.6650898730358,"(0.0, 1365.5748414353252, 4248.891887815578)","(0.0, 23013.73107664955, 178576.9576514486)","(35.25, 2375.9337765543223, 3284.198552105809)"
10.0,1128837891.6846883,784.7599703514607,"(0.0, 1365.575015729848, 4248.892135874607)","(0.0, 23013.73440118088, 178577.04023070884)","(29.25, 2375.591170105172, 4167.666031328266)"
10.0,1128837891.6846883,2335.7214690901214,"(0.0, 1365.57553390904, 4248.892872548371)","(0.0, 23013.744295516113, 178577.285880937)","(22.083333333333332, 2375.491585039308, 6080.3000546704425)"
10.0,1128837891.6846883,6951.927961775606,"(0.0, 1365.5770710554996, 4248.8950579304)","(0.0, 23013.773738881777, 178578.01400386787)","(15.5, 2371.922528521153, 9757.76787920382)"
10.0,1128837891.6846883,20691.3808111479,"(0.0, 1365.5816012563769, 4248.901536594458)","(0.0, 23013.86132264912, 178580.1725603407)","(8.833333333333334, 2359.3755584740256, 16362.711723102153)"
10.0,1128837891.6846883,61584.82110660255,"(0.0, 1365.5947027595541, 4248.920547031454)","(0.0, 23014.121560625565, 178586.50650596805)","(3.5000000000000004, 2345.329973436648, 27821.060006036925)"
10.0,1128837891.6846883,183298.07108324338,"(0.0, 1365.6306815533844, 4248.974843259219)","(0.0, 23014.892234281324, 178604.5976308976)","(2.666666666666667, 2298.130460552709, 47119.71903884161)"
10.0,1128837891.6846883,545559.4781168514,"(0.0, 1365.7181372343084, 4249.119060543249)","(0.0, 23026.978427958064, 178652.6551366678)","(1.9166666666666665, 2227.313366757654, 77870.91659668341)"
10.0,1128837891.6846883,1623776.739188721,"(0.0, 1365.893473222007, 4249.444222116455)","(0.0, 23037.540342643246, 178761.05496000813)","(0.6666666666666667, 2274.2187437998537, 121426.68613906816)"
10.0,1128837891.6846883,4832930.238571752,"(0.0, 1366.0933278379216, 4250.018404456077)","(0.0, 23073.865220164837, 178952.76843239935)","(0.08333333333333334, 2615.3414835781755, 173621.82482238335)"
10.0,1128837891.6846883,14384498.882876629,"(0.0, 1366.2518417013698, 4250.9069331454775)","(0.0, 23141.3440359948, 179250.61706959386)","(0.0, 3538.3702770474465, 232864.1704622965)"
10.0,1128837891.6846883,42813323.98719387,"(0.0, 1366.661102738838, 4252.366086839742)","(0.0, 23272.809257199046, 179743.04288187603)","(0.0, 5360.5279854870805, 307353.17129990185)"
10.0,1128837891.6846883,127427498.57031322,"(0.0, 1367.4104700738394, 4254.85459173519)","(0.0, 23469.833583907384, 180592.0107096369)","(0.0, 8575.846198641206, 406274.16301676957)"
10.0,1128837891.6846883,379269019.0732238,"(0.0, 1369.6610534479523, 4259.086535418831)","(0.0, 23846.040281709604, 182062.66744874223)","(0.0, 13928.807190670115, 539412.431009987)"
10.0,1128837891.6846883,1128837891.6846883,"(0.0, 1372.636377183107, 4266.20947008452)","(0.0, 24498.64573132232, 184616.9136506447)","(0.0, 23097.54798081831, 721443.5881508013)"
10.0,1128837891.6846883,3359818286.2837744,"(0.0, 1378.3237190078353, 4277.987985851306)","(0.0, 25630.247042071802, 189069.79956130823)","(0.0, 39267.94322780837, 976308.9735113865)"
10.0,1128837891.6846883,10000000000.0,"(0.0, 1386.5781129241047, 4296.889558383088)","(0.0, 27578.770165948285, 196869.24081684515)","(0.0, 67956.2586331345, 1345199.7736854204)"
10.0,3359818286.2837744,10.0,"(0.0, 1425.8596472050103, 4417.961780953203)","(0.0, 30425.47739818869, 287167.66818264785)","(38.916666666666664, 2340.9566224032737, 2857.4353499672243)"
10.0,3359818286.2837744,29.76351441631318,"(0.0, 1425.859647540302, 4417.961782537746)","(0.0, 30425.477882060564, 287167.6696540235)","(38.333333333333336, 2340.9542551644154, 2900.966332411309)"
10.0,3359818286.2837744,88.58667904100822,"(0.0, 1425.8596485382477, 4417.961787253869)","(0.0, 30425.479322211693, 287167.67402233556)","(37.0, 2340.9472098824026, 3026.6208003439265)"
10.0,3359818286.2837744,263.6650898730358,"(0.0, 1425.8596515084469, 4417.961801255165)","(0.0, 30425.483608416893, 287167.68703465944)","(34.166666666666664, 2340.9262446578978, 3373.294991083166)"
10.0,3359818286.2837744,784.7599703514607,"(0.0, 1425.8596603485012, 4417.961842960583)","(0.0, 30425.496363980285, 287167.7257615172)","(28.583333333333332, 2340.863880304544, 4238.601924472201)"
10.0,3359818286.2837744,2335.7214690901214,"(0.0, 1425.8596866568946, 4417.961967067673)","(0.0, 30425.53431405896, 287167.8410050806)","(22.0, 2340.503263516497, 6130.482946561149)"
10.0,3359818286.2837744,6951.927961775606,"(0.0, 1425.8597649358971, 4417.962335323056)","(0.0, 30425.647134481653, 287168.1838229736)","(15.416666666666668, 2339.9034005377316, 9794.811276026878)"
10.0,3359818286.2837744,20691.3808111479,"(0.0, 1425.8599977092301, 4417.963430527352)","(0.0, 30425.981760111317, 287169.202512427)","(8.666666666666668, 2339.908900745846, 16411.69400162866)"
10.0,3359818286.2837744,61584.82110660255,"(0.0, 1425.860688649923, 4417.966674548293)","(0.0, 30426.967506103043, 287172.21990274516)","(3.5000000000000004, 2336.37287907264, 27981.85543293028)"
10.0,3359818286.2837744,183298.07108324338,"(0.0, 1425.862728730121, 4417.976193441631)","(0.0, 30429.81411760521, 287181.0738698726)","(2.666666666666667, 2310.942090434656, 47856.43942368)"
10.0,3359818286.2837744,545559.4781168514,"(0.0, 1425.8686605985708, 4418.003379944291)","(0.0, 30437.588958150005, 287206.3619808196)","(1.9166666666666665, 2273.028774193427, 81214.32829801348)"
10.0,3359818286.2837744,1623776.739188721,"(0.0, 1425.8851968156177, 4418.075586181549)","(0.0, 30441.30899620115, 287273.5325477499)","(0.6666666666666667, 2238.1557011509803, 134301.13242908218)"
10.0,3359818286.2837744,4832930.238571752,"(0.0, 1425.926898552039, 4418.238370251283)","(0.0, 30461.680570348748, 287425.02061536495)","(0.08333333333333334, 2372.1338327533285, 209446.8836896242)"
10.0,3359818286.2837744,14384498.882876629,"(0.0, 1426.0158786811676, 4418.525816009094)","(0.0, 30496.636313767034, 287692.8876252597)","(0.0, 2883.2308469222316, 299450.2328606838)"
10.0,3359818286.2837744,42813323.98719387,"(0.0, 1426.1829387701941, 4418.970790408748)","(0.0, 30560.132346409253, 288109.0205003636)","(0.0, 4265.372878988424, 401543.0742581444)"
10.0,3359818286.2837744,127427498.57031322,"(0.0, 1426.491563724977, 4419.702080798817)","(0.0, 30685.91204930361, 288797.02059372445)","(0.0, 6737.913193667417, 529803.5453504977)"
10.0,3359818286.2837744,379269019.0732238,"(0.0, 1426.653954340089, 4420.9507433081435)","(0.0, 30911.868162957242, 289983.2189222751)","(0.0, 10922.889150445793, 699905.3857513973)"
10.0,3359818286.2837744,1128837891.6846883,"(0.0, 1426.9078973632343, 4423.078521988917)","(0.0, 31361.76755095912, 292038.32425511087)","(0.0, 17926.17339831643, 928350.9658509357)"
10.0,3359818286.2837744,3359818286.2837744,"(0.0, 1427.6261562412155, 4426.672248647406)","(0.0, 32070.06575367162, 295609.0901033625)","(0.0, 30175.771419230565, 1239637.617319421)"
10.0,3359818286.2837744,10000000000.0,"(0.0, 1429.4999272511523, 4432.649501751583)","(0.0, 33367.508019900386, 301841.43755572883)","(0.0, 51974.48451234407, 1673346.202058417)"
10.0,10000000000.0,10.0,"(0.0, 1473.9643981877807, 4518.284688654028)","(0.0, 36548.38305329622, 474760.5155042246)","(37.916666666666664, 2317.744628493867, 2919.0128178575746)"
10.0,10000000000.0,29.76351441631318,"(0.0, 1473.9643985351545, 4518.284688880998)","(0.0, 36548.383184889986, 474760.51625619666)","(37.333333333333336, 2317.7434482770013, 2961.572933702363)"
10.0,10000000000.0,88.58667904100822,"(0.0, 1473.9643995690585, 4518.28468955653)","(0.0, 36548.38357655801, 474760.5184943249)","(36.16666666666667, 2317.7399356044284, 3084.8751458804954)"
10.0,10000000000.0,263.6650898730358,"(0.0, 1473.9644026462768, 4518.284691562099)","(0.0, 36548.384742289105, 474760.52513903024)","(33.416666666666664, 2317.729481255044, 3425.701304217001)"
10.0,10000000000.0,784.7599703514607,"(0.0, 1473.9644118047981, 4518.284697536297)","(0.0, 36548.388211819154, 474760.54493229586)","(28.249999999999996, 2317.6983707405343, 4280.558417662244)"
10.0,10000000000.0,2335.7214690901214,"(0.0, 1473.9644390605763, 4518.2847153164985)","(0.0, 36548.39853751649, 474760.60384036007)","(21.833333333333332, 2317.6058218867274, 6160.0318969129385)"
10.0,10000000000.0,6951.927961775606,"(0.0, 1473.9645201550102, 4518.284768093752)","(0.0, 36548.429262951395, 474760.77869890566)","(15.333333333333332, 2317.3307798181017, 9815.277832934822)"
10.0,10000000000.0,20691.3808111479,"(0.0, 1473.9647612698384, 4518.284925224585)","(0.0, 36548.52064656181, 474761.2992950361)","(8.666666666666668, 2316.5158351137616, 16433.048756483127)"
10.0,10000000000.0,61584.82110660255,"(0.0, 1473.9654767002753, 4518.285392141032)","(0.0, 36548.79205312513, 474762.84625483595)","(3.5000000000000004, 2314.2388217913713, 28039.546011145125)"
10.0,10000000000.0,183298.07108324338,"(0.0, 1473.967586709614, 4518.286775156794)","(0.0, 36549.59474608619, 474767.4283912224)","(2.666666666666667, 2308.9332521798997, 48116.02256420106)"
10.0,10000000000.0,545559.4781168514,"(0.0, 1473.9737012141316, 4518.2908333091245)","(0.0, 36551.94005534031, 474780.87374954805)","(1.9166666666666665, 2289.5228139314368, 82472.45295277413)"
10.0,10000000000.0,1623776.739188721,"(0.0, 1473.9905728131716, 4518.302423506251)","(0.0, 36558.56720609314, 474819.27497561724)","(0.6666666666666667, 2246.3287867119707, 140062.1576457626)"
10.0,10000000000.0,4832930.238571752,"(0.0, 1474.0317968841898, 4518.333205855617)","(0.0, 36575.840242212056, 474921.2732695972)","(0.08333333333333334, 2245.99903549757, 231668.3786495741)"
10.0,10000000000.0,14384498.882876629,"(0.0, 1474.1118992776928, 4518.402600211226)","(0.0, 36614.60054462394, 475151.291779876)","(0.0, 2447.4569960563704, 361306.3066314978)"
10.0,10000000000.0,42813323.98719387,"(0.0, 1474.2347756982444, 4518.5251419752985)","(0.0, 36659.604042831874, 475557.98971862596)","(0.0, 3165.5638506671507, 516536.8440969841)"
10.0,10000000000.0,127427498.57031322,"(0.0, 1474.4191722703283, 4518.714891706804)","(0.0, 36735.81024074656, 476189.8008978886)","(0.0, 4883.0751661654795, 692562.7479398528)"
10.0,10000000000.0,379269019.0732238,"(0.0, 1474.72386101878, 4519.0268950791)","(0.0, 36903.21169694631, 477234.4588256872)","(0.0, 7941.1399907840005, 913606.6640372069)"
10.0,10000000000.0,1128837891.6846883,"(0.0, 1475.2497679312812, 4519.560070465142)","(0.0, 37188.29721793857, 479035.7787265992)","(0.0, 12935.064250659003, 1206546.8109227293)"
10.0,10000000000.0,3359818286.2837744,"(0.0, 1476.167837216697, 4520.4698914339115)","(0.0, 37642.67412548735, 482157.2785725539)","(0.0, 21226.324850243698, 1599497.5444456472)"
10.0,10000000000.0,10000000000.0,"(0.0, 1477.442331513461, 4522.010185527221)","(0.0, 38429.336442387525, 487583.505974393)","(0.0, 36442.80727138946, 2133949.3240225515)"
29.76351441631318,10.0,10.0,"(99.41666666666666, 12167.10245024398, 919.0301587753826)","(99.75, 10496.733614833356, 464.3726011346006)","(99.91666666666667, 3852.6501801430504, 148.22976739425746)"
29.76351441631318,10.0,29.76351441631318,"(99.41666666666666, 8573.364749053097, 999.589269794983)","(99.75, 8628.020632226198, 600.1962556827426)","(99.91666666666667, 3682.1893212836235, 231.93418021179954)"
29.76351441631318,10.0,88.58667904100822,"(86.75, 5398.600213209553, 1089.0521489569069)","(92.0, 6457.583092360324, 781.4235159881307)","(93.58333333333333, 3246.9542396496386, 364.2023951809242)"
29.76351441631318,10.0,263.6650898730358,"(74.16666666666667, 3782.8623068964553, 1187.3551417108724)","(82.75, 5520.4957403416265, 1021.403244458681)","(84.83333333333334, 3379.296498180293, 573.0045806942944)"
29.76351441631318,10.0,784.7599703514607,"(57.58333333333333, 2141.03768005483, 1294.6659503922879)","(66.41666666666667, 3607.825611465856, 1337.9482742747573)","(68.66666666666667, 2747.870259214429, 902.4921067173105)"
29.76351441631318,10.0,2335.7214690901214,"(47.333333333333336, 1108.2273910787817, 1411.2768049935007)","(53.333333333333336, 2281.2102796855543, 1754.6773803264255)","(55.333333333333336, 2005.044459244894, 1422.3878558048912)"
29.76351441631318,10.0,6951.927961775606,"(38.25, 772.7544523671875, 1537.5230865444591)","(42.25, 1399.4558613092777, 2302.787734859446)","(43.833333333333336, 1377.789832796499, 2242.845108149365)"
29.76351441631318,10.0,20691.3808111479,"(28.916666666666668, 710.1150471738044, 1673.71957606303)","(34.416666666666664, 1149.5537753543294, 3023.4116894913827)","(34.91666666666667, 986.5901874630174, 3537.9890492752047)"
29.76351441631318,10.0,61584.82110660255,"(18.666666666666668, 680.3934360041635, 1820.1041731576363)","(25.916666666666664, 1214.4408011104574, 3970.7525257748935)","(26.416666666666664, 1126.7165978970243, 5583.263489033831)"
29.76351441631318,10.0,183298.07108324338,"(6.583333333333333, 715.8449961429317, 1976.7814156943914)","(17.833333333333336, 1540.5125544214202, 5216.262648361561)","(18.666666666666668, 1606.7774288355886, 8814.771181278096)"
29.76351441631318,10.0,545559.4781168514,"(2.5833333333333335, 729.9728662084854, 2143.660839946898)","(7.249999999999999, 1917.9697021507118, 6854.231048660601)","(9.25, 2336.059046027086, 13923.741274926304)"
29.76351441631318,10.0,1623776.739188721,"(0.8333333333333334, 750.9724608201786, 2320.3874636323285)","(2.4166666666666665, 2402.131328629185, 9009.302036309766)","(3.3333333333333335, 3526.381517874389, 22007.276152978586)"
29.76351441631318,10.0,4832930.238571752,"(0.4166666666666667, 787.8035147939663, 2506.263766345911)","(0.33333333333333337, 3001.3049061194506, 11846.687126699477)","(0.08333333333333334, 5261.9180891375745, 34809.61774700144)"
29.76351441631318,10.0,14384498.882876629,"(0.0, 831.0503930166502, 2700.1649560793217)","(0.0, 3775.0956952373053, 15586.217143086193)","(0.0, 7811.889416546106, 55109.70559936965)"
29.76351441631318,10.0,42813323.98719387,"(0.0, 898.0439039016138, 2900.452481042447)","(0.0, 4820.798012059915, 20522.025657587892)","(0.0, 11707.086733481308, 87346.56565030852)"
29.76351441631318,10.0,127427498.57031322,"(0.0, 955.4483393441741, 3104.8949953038295)","(0.0, 6299.20783138281, 27050.777481178306)","(0.0, 18027.78936304937, 138634.16352178698)"
29.76351441631318,10.0,379269019.0732238,"(0.0, 1042.7503806051209, 3310.6114029442974)","(0.0, 8211.172101788494, 35713.396148837724)","(0.0, 28274.093465926977, 220419.6919035856)"
29.76351441631318,10.0,1128837891.6846883,"(0.0, 1124.1836327512578, 3514.0567897110864)","(0.0, 10960.437436420736, 47259.11416134142)","(0.0, 44393.5471160165, 351216.26164620346)"
29.76351441631318,10.0,3359818286.2837744,"(0.0, 1203.5351340852621, 3711.0776795198603)","(0.0, 14675.284458737651, 62748.34580528341)","(0.0, 69555.25353662355, 561152.6144891469)"
29.76351441631318,10.0,10000000000.0,"(0.0, 1262.5806855813062, 3897.065258793534)","(0.0, 19179.111050546577, 83726.85683519863)","(0.0, 109314.80116731624, 899642.5456524093)"
29.76351441631318,29.76351441631318,10.0,"(99.41666666666666, 11195.842479094925, 929.1685376818782)","(99.75, 9798.192834396805, 485.29617850789106)","(99.91666666666667, 3649.637454823954, 151.63158265222108)"
29.76351441631318,29.76351441631318,29.76351441631318,"(99.41666666666666, 8157.931772283613, 1005.2634736083608)","(99.75, 8350.591010020547, 614.1799516115384)","(99.91666666666667, 3585.0427512031865, 234.65877507899307)"
29.76351441631318,29.76351441631318,88.58667904100822,"(86.41666666666666, 5310.149077309605, 1092.1365537503034)","(91.83333333333333, 6337.044441294816, 790.5511052139036)","(93.66666666666667, 3213.074112566374, 366.33300683469633)"
